iter	Logloss
0	0.6925824407
1	0.6921616231
2	0.6916729241
3	0.6915713312
4	0.6911645857
5	0.6903955287
6	0.6903955271
7	0.6903569071
8	0.6900405596
9	0.6891126741
10	0.688643065
11	0.6886430641
12	0.6884346826
13	0.6883639072
14	0.6879680844
15	0.6870120617
16	0.6869291215
17	0.6869278933
18	0.6869278926
19	0.6869173537
20	0.6864853782
21	0.6864800251
22	0.6859746829
23	0.6854054056
24	0.6854054055
25	0.6853465205
26	0.684974319
27	0.6845356857
28	0.6839334837
29	0.6838764376
30	0.6836835083
31	0.6836771913
32	0.6836089105
33	0.6828685246
34	0.6827046731
35	0.6820248241
36	0.681452852
37	0.6814528518
38	0.6814528515
39	0.68143809
40	0.6812908839
41	0.680127977
42	0.6800885558
43	0.679222587
44	0.678906662
45	0.6789053277
46	0.6785732099
47	0.678057301
48	0.6773259314
49	0.6773218379
50	0.676906487
51	0.6761170548
52	0.6756382899
53	0.6753847665
54	0.6749328099
55	0.6744711533
56	0.6737505486
57	0.673144362
58	0.6724503528
59	0.6716735511
60	0.6708911806
61	0.6705920123
62	0.6705696
63	0.670151566
64	0.6696152259
65	0.6696152259
66	0.6695477785
67	0.6695477785
68	0.6695477785
69	0.668857859
70	0.6688578589
71	0.6688578587
72	0.6681072061
73	0.668107206
74	0.6680981348
75	0.668085927
76	0.668085927
77	0.6680857657
78	0.6671237615
79	0.6662965735
80	0.6662918977
81	0.6657008089
82	0.6657008089
83	0.6645353427
84	0.6644838652
85	0.6640252536
86	0.6631785415
87	0.6624935456
88	0.662196138
89	0.6617389847
90	0.6611538193
91	0.6606745414
92	0.6598103029
93	0.6596148178
94	0.6589013532
95	0.6582133486
96	0.6575593508
97	0.6571695593
98	0.6561789758
99	0.6560443701
100	0.6556661482
101	0.6553128551
102	0.6547547544
103	0.6536595506
104	0.6530513947
105	0.6523420123
106	0.6515083798
107	0.6507437236
108	0.6500199392
109	0.6493204218
110	0.6486639939
111	0.6480708931
112	0.6470353217
113	0.6465840657
114	0.6453006904
115	0.6444151716
116	0.6437495088
117	0.6433060274
118	0.6426036379
119	0.6417168376
120	0.6411300078
121	0.6404030766
122	0.6394747548
123	0.6384800043
124	0.6377681246
125	0.636855556
126	0.6361080417
127	0.6350964659
128	0.6344722698
129	0.6337604589
130	0.6332181009
131	0.6323226303
132	0.631664735
133	0.6307660265
134	0.6300632061
135	0.6290138757
136	0.6284502692
137	0.6276593079
138	0.6270180377
139	0.6263465732
140	0.625455648
141	0.6244033984
142	0.6237903027
143	0.6230723075
144	0.6224296539
145	0.6216905939
146	0.6210440264
147	0.6201615786
148	0.6192022018
149	0.618434529
150	0.6176752735
151	0.6169813416
152	0.6163295253
153	0.6159356161
154	0.6152865902
155	0.6147123308
156	0.6144124908
157	0.6135888128
158	0.6129655441
159	0.6120288189
160	0.6114033618
161	0.6104855529
162	0.6096655318
163	0.608900582
164	0.6082733272
165	0.6074629175
166	0.6068420154
167	0.6058393038
168	0.6052037717
169	0.6045887073
170	0.6041205513
171	0.603578542
172	0.6031344407
173	0.6025188045
174	0.6015742253
175	0.601291555
176	0.6004976963
177	0.5994417805
178	0.5988740157
179	0.5981377264
180	0.5975183664
181	0.5969551693
182	0.5960837533
183	0.5957067441
184	0.5951281216
185	0.5950901154
186	0.5944706347
187	0.5937639228
188	0.5930878614
189	0.5923524567
190	0.5915105673
191	0.5908843842
192	0.5901795346
193	0.5895717801
194	0.5890310154
195	0.5883704215
196	0.5877287564
197	0.5872965496
198	0.5868596781
199	0.5861528738
200	0.5854512075
201	0.5846130334
202	0.5840049342
203	0.5834895579
204	0.5828035584
205	0.5821310576
206	0.5816030485
207	0.5809512727
208	0.5805268254
209	0.5799136542
210	0.5791323704
211	0.5787399254
212	0.5780953203
213	0.5778048983
214	0.5773834924
215	0.5770119483
216	0.5763864623
217	0.5759464448
218	0.5753722546
219	0.5748104431
220	0.5740874328
221	0.5735157089
222	0.5730992296
223	0.5722820118
224	0.5717936567
225	0.5710958849
226	0.5704311896
227	0.5695811022
228	0.5687986744
229	0.5682626053
230	0.5674599109
231	0.5668218683
232	0.5662078542
233	0.5658383638
234	0.5652339021
235	0.5648484449
236	0.5643111538
237	0.5638475762
238	0.5632045071
239	0.5625343334
240	0.5618575511
241	0.5611368448
242	0.5605095089
243	0.5599727728
244	0.5596117456
245	0.55896
246	0.5584476632
247	0.5577588542
248	0.5572094645
249	0.5564398409
250	0.5557982788
251	0.5552646979
252	0.5551163657
253	0.554342141
254	0.5539523675
255	0.5535070955
256	0.5530472842
257	0.552538345
258	0.5520358922
259	0.5514668522
260	0.5509734321
261	0.5502827467
262	0.5499877182
263	0.5495370867
264	0.5487192059
265	0.54791984
266	0.5475809863
267	0.5474040063
268	0.5467523994
269	0.546439426
270	0.5458201503
271	0.5451768887
272	0.5445563367
273	0.5438112678
274	0.5433602888
275	0.5428847749
276	0.5424394309
277	0.5419053411
278	0.5413637644
279	0.540945329
280	0.5403302672
281	0.5395912562
282	0.5391208575
283	0.5385135828
284	0.537874099
285	0.5374881898
286	0.537349558
287	0.5368668621
288	0.536615633
289	0.5362165136
290	0.5355157025
291	0.5347962424
292	0.534150488
293	0.5336695533
294	0.5332194577
295	0.5329488365
296	0.5326087735
297	0.5322274524
298	0.5318475033
299	0.5314779182
